,word,freq
134,Ayacucho,0.1423948220064725
66,ir,0.14158576051779936
38,hizo,0.1407766990291262
5,haciendo,0.13996763754045308
84,hicieron,0.13915857605177995
145,muerte,0.13915857605177995
80,bastante,0.1383495145631068
91,Manam,0.1383495145631068
160,quién,0.13754045307443366
199,hora,0.13673139158576053
198,quería,0.13592233009708737
162,Hinaptin,0.13592233009708737
101,matado,0.13511326860841424
161,lugar,0.1343042071197411
141,manera,0.1343042071197411
138,realmente,0.1343042071197411
25,Arí,0.13268608414239483
83,sufrido,0.13268608414239483
96,apoyo,0.13106796116504854
82,quisiera,0.1302588996763754
183,quizá,0.1302588996763754
92,soldado,0.12864077669902912
168,dicen,0.127831715210356
125,junto,0.12702265372168284
186,quedado,0.12459546925566344
55,cada,0.12378640776699029
187,queremos,0.12297734627831715
93,sabe,0.12297734627831715
152,grupo,0.12297734627831715
6,base,0.12297734627831715
102,casi,0.12297734627831715
37,tener,0.12216828478964402
86,buscar,0.12216828478964402
140,dado,0.12216828478964402
143,gobierno,0.12135922330097088
159,forma,0.12135922330097088
49,mana,0.12135922330097088
89,problema,0.12055016181229773
131,llegó,0.11974110032362459
197,amigo,0.11974110032362459
128,zona,0.11893203883495146
136,día siguiente,0.11893203883495146
18,camino,0.11893203883495146
175,cuarto,0.11812297734627832
147,tampoco,0.11650485436893204
184,primero,0.11650485436893204
47,palabra,0.1156957928802589
29,miembro,0.11488673139158576
9,compañero,0.11407766990291263
76,Caso número,0.11326860841423948
64,mejor,0.11245954692556634
150,salir,0.11165048543689321
124,sabía,0.11084142394822007
33,embargo,0.11084142394822007
97,jóvenes,0.11003236245954692
126,campesino,0.10922330097087378
119,fuerza,0.10922330097087378
43,cabeza,0.10922330097087378
77,documento,0.10841423948220065
17,vi,0.10841423948220065
116,siquiera,0.10841423948220065
34,van,0.10841423948220065
148,nuevamente,0.1076051779935275
75,hablar,0.10679611650485436
51,situación,0.10679611650485436
172,presente,0.10679611650485436
2,trabajar,0.10598705501618123
41,pasar,0.10517799352750809
146,Sendero Luminoso,0.10517799352750809
130,Sendero,0.10517799352750809
23,recién,0.10517799352750809
60,saber,0.10436893203883495
57,buena fe,0.10436893203883495
65,llegado,0.10275080906148867
42,vivir,0.10275080906148867
81,puesto,0.10275080906148867
88,hoy,0.10275080906148867
4,frente,0.10275080906148867
52,prácticamente,0.10275080906148867
129,totalmente,0.10275080906148867
0,dar testimonio,0.10275080906148867
69,cuerpo,0.10194174757281553
111,peruano,0.10194174757281553
48,vivido,0.1011326860841424
