,ubigeo
958,0102060031
959,0103010001
960,0103010002
961,0103010003
962,0103010004
963,0103010005
964,0103010006
965,0103010007
966,0103010008
967,0103010009
968,0103010010
969,0103010011
970,0103010012
971,0103010013
972,0103010014
973,0103010015
974,0103010016
975,0103010017
976,0103010018
977,0103010019
978,0103010020
979,0103010021
980,0103010022
981,0103010023
982,0103020001
983,0103020002
984,0103020003
985,0103020004
986,0103020005
987,0103020006
988,0103020007
989,0103020008
990,0103020009
991,0103020010
992,0103020011
993,0103020012
994,0103020013
995,0103020014
996,0103020015
997,0103020016
998,0103020017
999,0103020018
1000,0103020019
1001,0103020020
1002,0103020021
1003,0103020022
1004,0103020023
1005,0103020024
1006,0103030001
1007,0103030002
1008,0103030003
1009,0103030004
1010,0103030005
1011,0103030006
1012,0103030007
1013,0103030008
1014,0103040001
1015,0103040002
1016,0103040003
1017,0103040004
1018,0103040005
1019,0103040006
1020,0103040007
1021,0103040008
1022,0103040009
1023,0103040010
1024,0103040011
1025,0103040012
1026,0103040013
1027,0103040014
1028,0103040015
1029,0103040016
1030,0103040017
1031,0103040018
1032,0103040019
1033,0103040020
1034,0103040021
1035,0103040022
1036,0103040023
1037,0103040024
1038,0103050001
1039,0103050002
1040,0103050003
1041,0103050004
1042,0103050005
1043,0103050006
1044,0103050007
1045,0103050008
1046,0103050009
1047,0103050010
1048,0103050011
1049,0103050012
1050,0103050013
1051,0103050014
1052,0103050015
1053,0103050016
1054,0103050017
1055,0103050018
1056,0103050019
1057,0103050020
1058,0103050021
1059,0103050022
1060,0103050023
1061,0103050024
1062,0103050025
1063,0103060001
1064,0103060002
1065,0103060003
1066,0103060004
1067,0103060005
1068,0103060006
1069,0103060007
1070,0103060008
1071,0103060009
1072,0103060010
1073,0103060011
1074,0103060012
1075,0103060013
1076,0103060014
1077,0103060015
1078,0103060016
1079,0103060017
1080,0103060018
1081,0103060019
1082,0103060020
1083,0103060021
1084,0103060022
1085,0103060023
1086,0103060024
1087,0103060025
1088,0103060026
1089,0103060027
1090,0103060028
1091,0103060029
1092,0103060030
1093,0103060031
1094,0103060032
1095,0103070001
1096,0103070002
1097,0103070003
1098,0103070004
1099,0103070005
1100,0103070006
1101,0103070007
1102,0103070008
1103,0103070009
1104,0103070010
1105,0103070011
1106,0103070012
1107,0103070013
1108,0103070014
1109,0103070015
1110,0103070016
1111,0103070017
1112,0103070018
1113,0103070019
1114,0103070020
1115,0103080001
1116,0103080002
1117,0103080003
1118,0103080004
1119,0103080005
1120,0103080006
1121,0103080007
1122,0103080008
1123,0103080009
1124,0103080010
1125,0103080011
1126,0103080012
1127,0103080013
1128,0103090001
1129,0103090002
1130,0103090003
1131,0103090004
1132,0103090005
1133,0103090006
1134,0103090007
1135,0103090008
1136,0103090009
1137,0103090010
1138,0103090011
1139,0103090012
1140,0103090013
1141,0103090014
1142,0103090015
